Region,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,8370.4,7943.9,7496,6924.2,6847.1,6112.4,5578.9,5403.0,4616.9,3814.7,3907.2,3296.4,2827.2,2528.2 
Tianjin,11288.9,12779.4,11832,10518.2,9130.2,7934.8,7067.7,6278.1,4738.2,3389.8,2353.1,1820.5,1495.1,1245.7 
Hebei,33406.8,31750,29448.3,26671.9,23194.2,19661.3,16389.3,15083.4,12269.8,8866.6,6884.7,5470.2,4139.7,3218.8 
Shanxi,6040.5,14198,14074.2,12354.5,11031.9,8863.3,7073.1,6063.2,4943.2,3531.2,2861.5,2255.7,1826.6,1443.9 
Inner Mongolia,14013.2,15080,13702.2,17591.8,14217.4,11875.7,10365.2,8926.5,7336.8,5475.4,4372.9,3363.2,2643.6,1788.0 
Liaoning,6676.7,6692.2,17917.9,24730.8,25107.7,21836.3,17726.3,16043.0,12292.5,10019.1,7435.2,5689.6,4200.4,2979.6 
Jilin,13283.9,13923.2,12705.3,11339.6,9979.3,9511.5,7441.7,7870.4,6411.6,5038.9,3651.4,2594.3,1741.1,1169.1 
Heilongjiang,11292,10648.3,10182.9,9829,11453.1,9694.7,7475.4,6812.6,5028.8,3656.0,2833.5,2236.0,1737.3,1430.8 
Shanghai,7246.6,6755.9,6352.7,6016.4,5647.8,5117.6,4962.1,5108.9,5043.8,4823.1,4420.4,3900.0,3509.7,3050.3 
Jiangsu,53277,49663.2,46246.9,41938.6,36373.3,30854.2,26692.6,23184.3,18949.9,15300.6,12268.1,10069.2,8165.4,6557.1 
Zhejiang,31696,30276.1,27323.3,24262.8,20782.1,17649.4,14185.3,12376.0,10742.3,9323.0,8420.4,7590.2,6520.1,5781.4 
Anhui,29275.1,27033.4,24386,21875.6,18621.9,15425.8,12455.7,11542.9,8990.7,6747.0,5087.5,3533.6,2525.1,1935.3 
Fujian,26416.3,23237.4,21301.4,18177.9,15327.4,12439.9,9910.9,8199.1,6231.2,5207.7,4287.8,2981.8,2316.7,1892.9 
Jiangxi,22085.3,19694.2,17388.1,15079.3,12850.3,10774.2,9087.6,8772.3,6643.1,4745.4,3301.9,2683.6,2176.6,1713.2 
Shandong,55202.7,53322.9,48312.4,42495.5,36789.1,31256.0,26749.7,23280.5,19034.5,15435.9,12537.7,11111.4,9307.3,6970.6 
Henan,44496.9,40415.1,35660.3,30782.2,26087.5,21450.0,17769.0,16585.9,13704.5,10490.6,8010.1,5904.7,4311.6,3099.4 
Hubei,32282.4,30011.7,26563.9,22915.3,19307.3,15578.3,12557.3,10262.7,7866.9,5647.0,4330.4,3343.5,2676.6,2264.8 
Hunan,31959.2,28353.3,25045.1,21242.9,17841.4,14523.2,11880.9,9663.6,7703.4,5534.0,4154.8,3175.5,2629.1,2072.6 
Guangdong,37761.7,33303.6,30343,26293.9,22308.4,18751.5,17069.2,15623.7,12933.1,10868.7,9294.3,7973.4,6977.9,5870.0 
Guangxi,20499.1,18236.8,16227.8,13843.2,11907.7,9808.6,7990.7,7057.6,5237.2,3756.4,2939.7,2198.7,1661.2,1236.5 
Hainan,4244.4,3890.4,3451.2,3112.2,2697.9,2145.4,1657.2,1317.0,988.3,705.4,502.4,423.9,367.2,317.1 
Chongqing,17537,16048.1,14353.2,12285.4,10435.2,8736.2,7473.4,6688.9,5214.3,3979.6,3127.7,2407.4,1933.2,1537.1 
Sichuan,31902,28812,25525.9,23318.6,20326.1,17040.0,14222.2,13116.7,11371.9,7127.8,5639.8,4412.9,3585.2,2818.4 
Guizhou,15503.9,13204,10945.5,9025.8,7373.6,5717.8,4235.9,3104.9,2412.0,1864.5,1488.8,1197.4,998.3,865.2 
Yunnan,18936,16119.4,13500.6,11498.5,9968.3,7831.1,6191.0,5528.7,4526.4,3435.9,2759.0,2208.6,1777.6,1291.5 
Tibet,1975.6,1596,1295.7,1069.2,876.0,670.5,516.3,462.7,378.3,309.9,270.3,231.1,181.4,162.4 
Shaanxi,23819.4,20825.3,18582.2,17191.9,14884.1,12044.5,9431.1,7963.7,6246.9,4614.4,3415.0,2480.7,1882.2,1508.9 
Gansu,5827.8,9664,8754.2,7884.1,6527.9,5145.0,3965.8,3158.3,2363.0,1712.8,1304.2,1022.6,870.4,733.9 
Qinghai,3883.6,3528.1,3210.6,2861.2,2361.1,1883.4,1435.6,1016.9,798.2,583.2,482.8,408.5,329.8,289.2 
Ningxia,3728.4,3794.2,3505.4,3173.8,2651.1,2096.9,1644.7,1444.2,1075.9,828.9,599.8,498.7,443.3,376.2 
Xinjiang,12089.1,10287.5,10813,9447.7,7732.3,6158.8,4632.1,3423.2,2725.5,2260.0,1850.8,1567.1,1339.1,1147.2 
